key,0,1
#,,
int32,str,str
0,"TEXT_MANFST200_00507_SEQ_00","Kan-E-Senna would entrust you with a task of great import."
1,"TEXT_MANFST200_00507_SEQ_01","Appointing you her personal envoy, Kan–E–Senna bids you deliver a missive to the other two leaders of the Eorzean Alliance. In order to facilitate your journey, she bestows upon you an airship pass, which will allow you to travel by air between the three allied nations. Before making your way to the airship landing, be sure to quiz Miounne as to what awaits beyond the boundaries of the Twelveswood."
2,"TEXT_MANFST200_00507_SEQ_02","In addition to Gridania, the Eorzean Alliance encompasses the city–states of Limsa Lominsa and Ul'dah. The airship landing is situated on the lower floor of the Carline Canopy. Make your final preparations for the journey, then speak with Lionnellais at the entrance lobby."
3,"TEXT_MANFST200_00507_SEQ_03","You are now ready to embark upon the first leg of your journey, which will take you to Limsa Lominsa. Make your way to the landing area and await departure."
4,"TEXT_MANFST200_00507_SEQ_04","Having safely arrived in Limsa Lominsa, you must now seek audience with the Admiral. Speak with the Maelstrom honor guard to receive assistance."
5,"TEXT_MANFST200_00507_SEQ_05","The Admiral awaits you at her command room on the Bridge. Take the Crow's Lift to the Bulwark Hall, and present Kan–E–Senna's missive to Zanthael before the Admiral's Lift to be admitted."
6,"TEXT_MANFST200_00507_SEQ_06","The Lominsan Admiral, Merlwyb Bloefyswyn, is receptive to the proposal detailed in her counterpart's missive. It appears the Garlean Empire remains a grave threat to Eorzea, with the XIVth Imperial Legion, led by Legatus Gaius van Baelsar, deeply entrenched in the frontier regions. Your mission in Limsa Lominsa now complete, make your way to the airship landing and speak with L'nophlo."
7,"TEXT_MANFST200_00507_SEQ_07","You are now ready to embark upon the second leg of your journey, which will take you to Ul'dah. Make your way to the landing area and await departure."
8,"TEXT_MANFST200_00507_SEQ_08","Having safely arrived in Ul'dah, you must now seek audience with the Flame General. Speak with the Flame honor guard to receive assistance."
9,"TEXT_MANFST200_00507_SEQ_09","The Flame General awaits you at the Royal Promenade. Present Kan–E–Senna's missive to Bartholomew on the Hustings Strip to be admitted."
10,"TEXT_MANFST200_00507_SEQ_10","Having now met the leaders of both Limsa Lominsa and Ul'dah, you have discharged your duty as the Elder Seedseer's envoy, and learned of the various threats to Eorzea in the process. Amidst this period of turmoil, what meaningful contribution can a lone adventurer make to the realm? Perhaps the answer will be revealed to you in the course of your journeys to come."
