key,0,1
#,,
int32,str,str
0,"TEXT_CLSPGL200_00562_SEQ_00","格闘士ギルドのハモンはすっかり意気消沈しているようだ。"
1,"TEXT_CLSPGL200_00562_SEQ_01","ハモンは冒険者に指導をする元気はない。「チュチュト」から新たな課題をもらおう。"
2,"TEXT_CLSPGL200_00562_SEQ_02","昔、ハモンが修行したことをやり遂げれば、彼の闘争心を煽れるかもしれない。「ドライボーン」の南方にある「拳撃の痕跡」に「連撃」を叩きこんで、現れた「ホーネット・クラウド」の「ホーネットの毒針」を集めてこよう。"
3,"TEXT_CLSPGL200_00562_SEQ_03","ホーネットの毒針を入手することができた。「格闘士ギルド」の「ハモン」に「ホーネットの毒針」を渡しにいこう。"
4,"TEXT_CLSPGL200_00562_SEQ_04","ホーネットの毒針を見て、昔の修行を思い出し闘魂を取り戻すことができたようだ。準備ができたら「ハモン」に話しかけよう。"
5,"TEXT_CLSPGL200_00562_SEQ_05","「大斧のヴェッグファル」と部下になったというルルクタが現れた。彼はもし、ハモンが復活を果たした時には、決闘を申し込むという。もう一度、「ハモン」に話しかけよう。"
6,"TEXT_CLSPGL200_00562_SEQ_06","話しによるとヴェッグファルは以前、ハモンに負けているようだ。決闘で負ければ、格闘士ギルドはヴェッグファルのものになってしまう。「拳聖ハモン」の復活に協力するため、冒険者も修行に励もう。

※格闘士のレベルが25以上になると、ハモンから
　次の格闘士クエストを受注することができます。"
7,"TEXT_CLSPGL200_00562_SEQ_07",""
8,"TEXT_CLSPGL200_00562_SEQ_08",""
9,"TEXT_CLSPGL200_00562_SEQ_09",""
10,"TEXT_CLSPGL200_00562_SEQ_10",""
11,"TEXT_CLSPGL200_00562_SEQ_11",""
12,"TEXT_CLSPGL200_00562_SEQ_12",""
13,"TEXT_CLSPGL200_00562_SEQ_13",""
14,"TEXT_CLSPGL200_00562_SEQ_14",""
15,"TEXT_CLSPGL200_00562_SEQ_15",""
16,"TEXT_CLSPGL200_00562_SEQ_16",""
17,"TEXT_CLSPGL200_00562_SEQ_17",""
18,"TEXT_CLSPGL200_00562_SEQ_18",""
19,"TEXT_CLSPGL200_00562_SEQ_19",""
20,"TEXT_CLSPGL200_00562_SEQ_20",""
21,"TEXT_CLSPGL200_00562_SEQ_21",""
22,"TEXT_CLSPGL200_00562_SEQ_22",""
