key,0,1
#,,
int32,str,str
0,"TEXT_FESVLT003_01299_SEQ_00","※本クエストは、期間限定のクエストとなります。

グリダニアのネモ・マイモーヴは、何かを思いつめているようだ。"
1,"TEXT_FESVLT003_01299_SEQ_01","※本クエストは、シーズナルイベント開催中にかぎり、
　受注、進行できます。
　開催期間終了後は進行できませんので、ご注意ください。
　期間等の詳細についてはLodestoneをご覧ください。

ネモ・マイモーヴから、婚約者の「グウェイン」を探すように依頼された。グリダニアにて「グウェインらしき男」を探し出し、話しかけよう。"
2,"TEXT_FESVLT003_01299_SEQ_02","グウェインはすでにグリダニアを去っているようだが、それらしき人物の居場所を聞き出せた。「ネモ・マイモーヴ」と相談しよう。"
3,"TEXT_FESVLT003_01299_SEQ_03","ネモ・マイモーヴは、エ・タッタ監視哨で目撃された男こそ本物のグウェインだという。北部森林のエ・タッタ監視哨にて、「グウェイン」を探し出し、話しかけよう。"
4,"TEXT_FESVLT003_01299_SEQ_04","グウェインは、記憶を失っていた。「ネモ・マイモーヴ」に報告しよう。"
5,"TEXT_FESVLT003_01299_SEQ_05","ネモ・マイモーヴに、グウェインの記憶喪失を知らせた。その話を聞いていたギルバルトは、冒険者に話があるという。北部森林のエ・タッタ監視哨にいる「ギルバルト」と話そう。"
6,"TEXT_FESVLT003_01299_SEQ_06","グウェインは、ネモ・マイモーヴから金をだまし取っていた結婚詐欺師だった。ネモ・マイモーヴが、真実の愛に気づき、ギルバルトへヴァレンティオンデーのチョコを贈る日が来ることを願うばかりだ。"
7,"TEXT_FESVLT003_01299_SEQ_07",""
8,"TEXT_FESVLT003_01299_SEQ_08",""
9,"TEXT_FESVLT003_01299_SEQ_09",""
10,"TEXT_FESVLT003_01299_SEQ_10",""
11,"TEXT_FESVLT003_01299_SEQ_11",""
12,"TEXT_FESVLT003_01299_SEQ_12",""
13,"TEXT_FESVLT003_01299_SEQ_13",""
14,"TEXT_FESVLT003_01299_SEQ_14",""
15,"TEXT_FESVLT003_01299_SEQ_15",""
16,"TEXT_FESVLT003_01299_SEQ_16",""
17,"TEXT_FESVLT003_01299_SEQ_17",""
18,"TEXT_FESVLT003_01299_SEQ_18",""
19,"TEXT_FESVLT003_01299_SEQ_19",""
20,"TEXT_FESVLT003_01299_SEQ_20",""
